state_name,state_fips,cd,geo_name,federal_workers,margin_of_error,share_of_employment
Alabama,1,1,AL–1*,5169,989,0.016
Alabama,1,2,AL–2*,11158,1596,0.037
Alabama,1,3,AL–3*,7947,1378,0.026
Alabama,1,4,AL–4*,5977,1083,0.02
Alabama,1,5,AL–5*,19586,2181,0.054
Alabama,1,6,AL–6*,5431,1138,0.016
Alabama,1,7,AL–7*,6645,1505,0.022
Alaska,2,0,AK–1,15026,2167,0.045
Arizona,4,1,AZ–1,4259,988,0.01
Arizona,4,2,AZ–2,11343,1878,0.036
Arizona,4,3,AZ–3,4615,1149,0.012
Arizona,4,4,AZ–4,4734,1356,0.011
Arizona,4,5,AZ–5,5339,1162,0.013
Arizona,4,6,AZ–6,10208,1816,0.03
Arizona,4,7,AZ–7,8673,1722,0.025
Arizona,4,8,AZ–8,5602,1385,0.015
Arizona,4,9,AZ–9,9045,1652,0.025
Arkansas,5,1,AR–1,5124,934,0.017
Arkansas,5,2,AR–2,6380,1381,0.018
Arkansas,5,3,AR–3,3576,876,0.009
Arkansas,5,4,AR–4,5052,1015,0.017
California,6,1,CA–1,6489,1119,0.021
California,6,2,CA–2,4498,1194,0.013
California,6,3,CA–3,3768,776,0.011
California,6,4,CA–4,4146,896,0.011
California,6,5,CA–5,4834,1229,0.014
California,6,6,CA–6,4743,996,0.014
California,6,7,CA–7,6173,1276,0.017
California,6,8,CA–8,6202,1083,0.017
California,6,9,CA–9,4942,1141,0.014
California,6,10,CA–10,4597,946,0.013
California,6,11,CA–11,5242,1146,0.013
California,6,12,CA–12,5073,846,0.013
California,6,13,CA–13,3275,990,0.011
California,6,14,CA–14,4293,924,0.012
California,6,15,CA–15,4713,1062,0.013
California,6,16,CA–16,3338,935,0.009
California,6,17,CA–17,3038,678,0.007
California,6,18,CA–18,3417,1085,0.01
California,6,19,CA–19,4963,974,0.014
California,6,20,CA–20,9107,1552,0.027
California,6,21,CA–21,4491,1305,0.015
California,6,22,CA–22,2615,720,0.009
California,6,23,CA–23,7884,1668,0.026
California,6,24,CA–24,5384,1081,0.016
California,6,25,CA–25,5334,1173,0.017
California,6,26,CA–26,6880,1443,0.02
California,6,27,CA–27,6307,1263,0.019
California,6,28,CA–28,4892,957,0.013
California,6,29,CA–29,3945,1090,0.011
California,6,30,CA–30,3604,1014,0.009
California,6,31,CA–31,2927,783,0.009
California,6,32,CA–32,2993,894,0.008
California,6,33,CA–33,3437,846,0.01
California,6,34,CA–34,2627,699,0.007
California,6,35,CA–35,2570,721,0.007
California,6,36,CA–36,3059,702,0.008
California,6,37,CA–37,5709,1221,0.016
California,6,38,CA–38,3395,861,0.01
California,6,39,CA–39,3194,854,0.009
California,6,40,CA–40,3071,1029,0.008
California,6,41,CA–41,4703,1152,0.013
California,6,42,CA–42,4568,846,0.013
California,6,43,CA–43,5330,1141,0.016
California,6,44,CA–44,3800,945,0.011
California,6,45,CA–45,4557,1042,0.013
California,6,46,CA–46,4481,1176,0.012
California,6,47,CA–47,2579,877,0.007
California,6,48,CA–48,10117,1707,0.03
California,6,49,CA–49,4434,1154,0.012
California,6,50,CA–50,7382,1305,0.018
California,6,51,CA–51,9926,1656,0.027
California,6,52,CA–52,12596,1992,0.038
Colorado,8,1,CO–1,7578,1321,0.018
Colorado,8,2,CO–2,4997,1045,0.013
Colorado,8,3,CO–3,6994,1252,0.021
Colorado,8,4,CO–4,6478,1452,0.016
Colorado,8,5,CO–5,14750,1827,0.043
Colorado,8,6,CO–6,7583,1370,0.02
Colorado,8,7,CO–7,7140,1145,0.018
Colorado,8,8,CO–8,5046,1429,0.013
Connecticut,9,1,CT–1,3913,1194,0.011
Connecticut,9,2,CT–2,7244,1211,0.02
Connecticut,9,3,CT–3,4534,1308,0.012
Connecticut,9,4,CT–4,2815,1092,0.008
Connecticut,9,5,CT–5,3470,912,0.01
Delaware,10,0,DE–1,9190,1716,0.019
District of Columbia,11,98,DC-1,49115,3487,0.132
Florida,12,1,FL–1,13775,1687,0.04
Florida,12,2,FL–2,8082,1407,0.022
Florida,12,3,FL–3,5976,1274,0.018
Florida,12,4,FL–4,12406,2564,0.034
Florida,12,5,FL–5,10413,2615,0.026
Florida,12,6,FL–6,2884,1034,0.009
Florida,12,7,FL–7,3863,860,0.01
Florida,12,8,FL–8,7372,1285,0.021
Florida,12,9,FL–9,5484,1670,0.013
Florida,12,10,FL–10,4445,1067,0.011
Florida,12,11,FL–11,4415,1233,0.012
