"state","puma22","cd118","stab","PUMA22name","pop20","afact"
"01","00100","04","AL","Lauderdale, Colbert & Franklin Counties",132873,0.7265 
"01","00100","05","AL","Lauderdale, Colbert & Franklin Counties",50031,0.2735 
"01","00200","05","AL","Limestone County",103570,1 
"01","00300","04","AL","Morgan & Lawrence Counties--Decatur City",33073,0.2113 
"01","00300","05","AL","Morgan & Lawrence Counties--Decatur City",123421,0.7887 
"01","00401","05","AL","Madison County (North & East)--Huntsville City (East)",113502,1 
"01","00402","05","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",153097,1 
"01","00403","05","AL","Huntsville City (Central & South)",107983,1 
"01","00501","04","AL","Marshall & Madison (Far Southeast) Counties",97612,0.8779 
"01","00501","05","AL","Marshall & Madison (Far Southeast) Counties",13571,0.1221 
"01","00600","04","AL","DeKalb & Jackson Counties",71608,0.5766 
"01","00600","05","AL","DeKalb & Jackson Counties",52579,0.4234 
"01","00700","03","AL","Etowah & Cherokee Counties",24971,0.1945 
"01","00700","04","AL","Etowah & Cherokee Counties",103436,0.8055 
"01","00800","03","AL","Calhoun County",116441,1 
"01","00900","03","AL","St. Clair & Blount Counties",91103,0.6064 
"01","00900","06","AL","St. Clair & Blount Counties",59134,0.3936 
"01","01000","04","AL","Cullman, Marion & Winston Counties",140747,1 
"01","01100","04","AL","West Alabama",30293,0.2406 
"01","01100","06","AL","West Alabama",22293,0.1771 
"01","01100","07","AL","West Alabama",73306,0.5823 
"01","01201","04","AL","Tuscaloosa County (Outer)--Northport City (North & West)",32964,0.3263 
"01","01201","07","AL","Tuscaloosa County (Outer)--Northport City (North & West)",68048,0.6737 
"01","01202","04","AL","Tuscaloosa & Northport (Southeast) Cities",9806,0.0778 
"01","01202","07","AL","Tuscaloosa & Northport (Southeast) Cities",116218,0.9222 
"01","01301","04","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",65342,0.5642 
"01","01301","06","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",44620,0.3853 
"01","01301","07","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",5855,0.0506 
"01","01401","06","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",9259,0.0782 
"01","01401","07","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",109150,0.9218 
"01","01402","06","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",129105,0.9665 
"01","01402","07","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",4476,0.0335 
"01","01403","06","AL","Birmingham City",41473,0.2216 
"01","01403","07","AL","Birmingham City",145693,0.7784 
"01","01404","06","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",156237,0.8441 
"01","01404","07","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",28853,0.1559 
"01","01501","06","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",137436,1 
"01","01502","03","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",12405,0.095 
"01","01502","06","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",118197,0.905 
"01","01600","03","AL","Talladega, Randolph, Cleburne & Clay Counties",133408,1 
"01","01700","02","AL","Autauga, Dallas, Lowndes & Perry Counties",58805,0.5066 
"01","01700","07","AL","Autauga, Dallas, Lowndes & Perry Counties",57284,0.4934 
"01","01801","02","AL","Montgomery City (West)",48189,0.4404 
"01","01801","07","AL","Montgomery City (West)",61220,0.5596 
"01","01802","02","AL","Montgomery City (East) & Pike Road Town (Northwest)",104172,0.9877 
"01","01802","07","AL","Montgomery City (East) & Pike Road Town (Northwest)",1299,0.0123 
"01","01901","02","AL","Elmore & Montgomery (South & Far East) Counties",102051,1 
"01","02000","02","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",10357,0.089 
"01","02000","03","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",106002,0.911 
"01","02101","03","AL","Lee County (West)--Auburn & Opelika Cities",127904,1 
"01","02201","03","AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",105520,1 
"01","02300","02","AL","Houston, Geneva & Henry Counties--Dothan City",151007,1 
"01","02400","02","AL","Coffee & Dale Counties",102791,1 
"01","02500","02","AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",128047,1 
"01","02600","01","AL","Southwest Alabama",71178,0.5481 
