state_name,Overall,Veterans,Veterans and veteran or military spouses
Alabama,"61,900","18,600","21,900"
Alaska,"15,000","5,100","6,200"
Arizona,"63,800","18,000","21,100"
Arkansas,"20,100","4,100","5,000"
California,"255,600","58,200","66,100"
Colorado,"60,600","18,300","21,800"
Connecticut,"22,000","4,500","5,500"
Delaware,"9,200","2,600","3,400"
District of Columbia,"49,100","4,000","4,900"
Florida,"154,300","48,700","56,800"
Georgia,"106,500","31,000","36,500"
Hawaii,"29,400","9,900","11,900"
Idaho,"18,500","3,900","4,600"
Illinois,"89,700","17,600","20,900"
Indiana,"48,300","9,300","11,400"
Iowa,"21,900","5,400","6,400"
Kansas,"28,100","7,300","8,800"
Kentucky,"34,800","8,600","10,200"
Louisiana,"34,600","8,000","9,300"
Maine,"12,000","2,600","3,200"
Maryland,"225,400","48,400","58,100"
Massachusetts,"43,900","6,700","7,700"
Michigan,"54,300","11,100","13,600"
Minnesota,"31,700","5,700","7,100"
Mississippi,"30,100","7,900","9,500"
Missouri,"52,900","12,400","14,700"
Montana,"15,400","4,000","4,900"
Nebraska,"17,500","5,000","5,700"
Nevada,"27,800","8,500","10,300"
New Hampshire,"13,100","3,300","4,200"
New Jersey,"56,200","9,400","10,600"
New Mexico,"44,200","10,100","12,300"
New York,"129,400","15,200","18,300"
North Carolina,"84,900","27,700","33,200"
North Dakota,"9,200","2,800","3,300"
Ohio,"81,100","20,200","23,600"
Oklahoma,"60,100","13,500","16,700"
Oregon,"25,300","5,000","5,900"
Pennsylvania,"90,500","19,200","22,300"
Rhode Island,"11,900","2,400","2,500"
South Carolina,"43,200","13,300","15,500"
South Dakota,"10,500","2,500","3,100"
Tennessee,"66,600","17,300","20,600"
Texas,"249,000","74,500","87,100"
Utah,"35,200","7,500","8,700"
Vermont,"5,500","1,200","1,600"
Virginia,"235,500","79,800","93,100"
Washington,"78,300","24,800","29,400"
West Virginia,"23,000","5,500","6,500"
Wisconsin,"28,900","5,500","7,000"
Wyoming,"8,100","2,400","2,800"
