cd_name,Overall,Veterans,Veterans and veteran or military spouses
Alaska - 1,"15,000","5,100","6,200"
Arizona - 1,"4,300","1,000","1,200"
Arizona - 2,"11,300","1,500","2,100"
Arizona - 3,"4,600","1,000","1,100"
Arizona - 4,"4,700","1,500","1,600"
Arizona - 5,"5,300","1,200","1,500"
Arizona - 6,"10,200","3,900","4,400"
Arizona - 7,"8,700","3,100","3,600"
Arizona - 8,"5,600","1,400","1,700"
Arizona - 9,"9,000","3,400","3,700"
Arkansas - 1,"5,100",700,900
Arkansas - 2,"6,400","1,500","2,000"
Arkansas - 3,"3,600",-,-
Arkansas - 4,"5,100","1,000","1,100"
California - 1,"6,500","1,500","1,800"
California - 2,"4,500",400,500
California - 3,"3,800",800,900
California - 4,"4,100","1,000","1,100"
California - 5,"4,800","1,000","1,100"
California - 6,"4,700","1,100","1,200"
California - 7,"6,200","1,100","1,300"
California - 8,"6,200","1,400","1,600"
California - 9,"4,900","1,000","1,200"
California - 10,"4,600",800,900
California - 11,"5,200",400,400
California - 12,"5,100",600,700
California - 13,"3,300",700,800
California - 14,"4,300",600,700
California - 15,"4,700",600,600
California - 16,"3,300",400,500
California - 17,"3,000",400,500
California - 18,"3,400",600,700
California - 19,"5,000","1,100","1,200"
California - 20,"9,100","2,600","2,900"
California - 21,"4,500",700,800
California - 22,"2,600",700,800
California - 23,"7,900","2,900","3,300"
California - 24,"5,400",900,"1,000"
California - 25,"5,300","1,400","1,500"
California - 26,"6,900","2,100","2,500"
California - 27,"6,300","1,400","1,700"
California - 28,"4,900",400,400
California - 29,"3,900",300,400
California - 30,"3,600",400,500
California - 31,"2,900",400,400
California - 32,"3,000",300,300
California - 33,"3,400",-,-
California - 34,"2,600",300,300
California - 35,"2,600",500,500
California - 36,"3,100",500,500
California - 37,"5,700",600,700
California - 38,"3,400",400,400
California - 39,"3,200",700,800
California - 40,"3,100",500,500
California - 41,"4,700","1,900","2,000"
California - 42,"4,600",600,800
California - 43,"5,300",700,800
California - 44,"3,800",600,700
California - 45,"4,600",500,600
California - 46,"4,500",700,700
California - 47,"2,600",400,500
California - 48,"10,100","4,700","5,200"
California - 49,"4,400","2,000","2,300"
California - 50,"7,400","2,500","2,700"
California - 51,"9,900","4,300","4,600"
California - 52,"12,600","5,400","6,300"
Colorado - 1,"7,600","1,500","1,800"
Colorado - 2,"5,000",900,"1,100"
Colorado - 3,"7,000","1,400","1,600"
Colorado - 4,"6,500","2,200","2,600"
Colorado - 5,"14,800","8,300","9,600"
Colorado - 6,"7,600","1,800","2,200"
Colorado - 7,"7,100","1,500","1,800"
Colorado - 8,"5,000",-,-
Connecticut - 1,"3,900",600,700
Connecticut - 2,"7,200","2,200","2,700"
Connecticut - 3,"4,500",800,"1,100"
Connecticut - 4,"2,800",-,-
Connecticut - 5,"3,500",600,600
Delaware - 1,"9,200","2,600","3,400"
District of Columbia - 1,"49,100","4,000","4,900"
Florida - 1,"13,800","7,800","9,200"
Florida - 2,"8,100","2,800","3,600"
Florida - 3,"6,000","1,800","2,100"
Florida - 4,"12,400","5,400","6,200"
Florida - 5,"10,400","4,300","4,800"
Florida - 6,"2,900",700,800
Florida - 7,"3,900",-,-
Florida - 8,"7,400","2,700","3,300"
Florida - 9,"5,500","1,700","1,900"
Florida - 10,"4,400",900,"1,100"
Florida - 11,"4,400",-,-
Florida - 12,"4,400",-,-
Florida - 13,"6,300","1,800","2,100"
Florida - 14,"6,600","2,000","2,300"
Florida - 15,"3,600","1,000","1,200"
Florida - 16,"6,100","2,800","3,200"
Florida - 17,"3,600",-,-
Florida - 18,"3,000",-,-
Florida - 19,"3,200",-,-
Florida - 20,"6,300",900,"1,100"
Florida - 21,"4,500",-,-
Florida - 22,"2,400",-,-
Florida - 23,"3,100",-,-
Florida - 24,"4,500",600,700
Florida - 25,"6,200","1,000","1,100"
Florida - 26,"2,300",500,600
Florida - 27,"4,200","1,200","1,400"
Florida - 28,"5,000","1,100","1,300"
Hawaii - 1,"19,500","6,500","7,800"
Hawaii - 2,"9,800","3,400","4,100"
Idaho - 1,"6,000","1,400","1,600"
